issue_id,severity,prompt_file,issue_type,problem,why_it_matters,recommended_fix,status
ISSUE-001,Major,"08_outline_agent.md; 16_final_assembly_agent.md",Workflow completeness,"The workflow plans and assembles a Methodology section, but there is no dedicated Methodology Writer Agent or standard methodology draft file.","Final assembly may produce a manuscript with a placeholder Methodology section even if the workflow is otherwise complete.","Add a Methodology Writer Agent and output path such as projects/sample_project/09_drafts/methodology/methodology_draft.md, or explicitly define Methodology as manually drafted outside this chain.",open
ISSUE-002,Major,16_final_assembly_agent.md,Reference readiness,"references_apa7.md may contain a Metadata To Confirm section with incomplete references, but final assembly says to copy references from references_apa7.md.","Incomplete or provisional references could be included in the assembled manuscript reference list.","Instruct final assembly to include only references outside Metadata To Confirm and list incomplete references in final_revision_notes.md.",open
ISSUE-003,Major,"13_citation_audit_agent.md; 14_claim_audit_agent.md; 15_style_formatting_agent.md",Missing-input behavior,"Audit-stage prompts do not fully specify fallback behavior when no draft files exist.","If run early, the agents may create ambiguous reports rather than clear blocked/template outputs.","Add fallback instructions: if no draft files exist, create output files stating the audit is blocked until drafts are available.",open
ISSUE-004,Major,16_final_assembly_agent.md,Missing-input behavior,"Final assembly depends on style_report.md but does not explicitly say what to do if style reporting has not been run.","Final assembly may proceed without the style-readiness gate.","Add behavior: if style_report.md is missing, assemble only a provisional draft and flag style review as a blocker in final_revision_notes.md.",open
ISSUE-005,Minor,11_results_writer_agent.md,Folder creation,"The prompt does not explicitly say to create the output folder if it does not exist.","A run may fail when projects/sample_project/09_drafts/results/ has not already been created.","Add: Create the output folder if it does not exist.",open
ISSUE-006,Minor,05_evidence_extraction_agent.md,Prompt polish,"Anti-hallucination wording repeats findings in the same sentence.","This is harmless but slightly unpolished.","Remove the duplicate word.",open
ISSUE-007,Minor,"04_citation_metadata_agent.md; 09_intro_rrl_writer_agent.md; 12_discussion_writer_agent.md",Citation readiness,"citation_key_map.csv may include partial or not-final-ready references, while writer prompts allow citation keys from citation_key_map.csv.","A writer could cite a not-final-ready source unless metadata_status is checked.","Require writer prompts to use only verified/final-ready citation keys, or mark not-final-ready citations as To be confirmed.",open
ISSUE-008,Minor,01_literature_search_agent.md,Anti-hallucination specificity,"The no-invention list does not explicitly mention statistics.","Consistency rule asks prompts to prohibit invented statistics where relevant.","Add statistics to the no-invention list.",open
ISSUE-009,Suggestion,All CSV-producing prompts,CSV integrity,"CSV escaping rules are not standardized.","Fields such as titles, APA references, claims, and notes may contain commas, quotation marks, or line breaks.","Add a shared CSV rule: quote fields containing commas, quotes, or line breaks, and escape internal quotes by doubling them.",open
ISSUE-010,Suggestion,All prompts,Reusability,"Prompts hard-code projects/sample_project/.","Reusing the workflow for future projects requires manual path edits across all prompts.","Introduce a project variable convention such as {PROJECT_DIR}, with projects/sample_project/ as the default example.",open
ISSUE-011,Suggestion,"13_citation_audit_agent.md; 14_claim_audit_agent.md",Audit coordination,"The boundary between citation-source fit and claim-support classification is improved but still has some overlap.","Some duplicated findings may appear in citation and claim audit outputs.","Add a coordination note: citation audit records citation-source fit, while claim audit is authoritative for final claim support classification.",open
