objective_id,objective_text,result_available,source_file,statistical_test_or_model,key_numerical_result,p_value_or_ci,significance_status,direction_or_relationship,result_readiness,missing_items,notes
1,Describe the graduates' academic performance profile based on clustered grades.,yes,"summary_stats.csv: cluster means, SDs, min/percentiles/max for CG1-CG5; regression_summaries.txt: sample size and model diagnostic notes (N=92)","Descriptive statistics (means, SD, min, quartiles, max) from summary_stats.csv",N = 92 (No. Observations reported in regression outputs and summary_stats.csv).; CG1 mean = 87.5963 (SD = 4.211); CG2 mean = 85.7464 (SD = 4.789); CG3 mean = 86.7114 (SD = 4.250); CG4 mean = 86.1893 (SD = 8.192); CG5 mean = 86.4135 (SD = 2.352),Not applicable (descriptive),not_tested,Clustered academic grades are available for all 5 clusters for 92 graduates; cluster means are in the mid-80s with CG4 showing larger spread (SD~8.2) and CG5 the narrowest spread (SD~2.35).,ready_for_results_draft,Clarify cluster definitions (which courses included per cluster) and grade scale direction (confirmed in methodology but cluster composition not listed).,
2,Describe the graduates' pre-board examination performance per cluster.,yes,summary_stats.csv: pre-board cluster means and spread for PB1-PB5,Descriptive statistics,PB1 mean = 52.6848 (SD = 12.604); PB2 mean = 56.9348 (SD = 12.587); PB3 mean = 49.6304 (SD = 15.458); PB4 mean = 64.3804 (SD = 17.168); PB5 mean = 59.5543 (SD = 21.504),Not applicable (descriptive),not_tested,"Pre-board cluster scores (PB1–PB5) vary by cluster; PB4 has the highest mean and PB3 the lowest mean; variability is substantial in some clusters (PB5 SD ~21.5, PB4 SD ~17.2).",ready_for_results_draft,Specification of pre-board score scaling (raw counts vs. percentage) and whether these represent single attempt or aggregated attempts.,
3,Describe the graduates' RTLE outcomes in terms of board examination grades per cluster and pass/fail result.,yes,summary_stats.csv: Subj01–Subj05 and GEN_AVE means and SDs; passfail_by_batch.csv: pass/fail counts by batch; passfail_chi2.csv: chi-square test for pass/fail by batch,Descriptive statistics; contingency table and chi-square test,"Subj01 mean = 68.4130 (SD = 10.956); Subj02 mean = 77.5109 (SD = 9.500); Subj03 mean = 73.0978 (SD = 12.029); Subj04 mean = 80.3152 (SD = 7.429); Subj05 mean = 75.9348 (SD = 13.111); GEN_AVE mean = 75.0543 (SD = 9.319); Pass/fail by batch (counts): 2022: FAILED=9, PASSED=19; 2023: FAILED=15, PASSED=17; 2024: FAILED=12, PASSED=20; Total (sum across batches) matches N=92 (Failed total = 36, Passed total = 56).; Chi-square test for pass/fail by batch: Chi2 = 1.4155, p = 0.4928 (df = 2) — no evidence of association between batch and pass/fail counts.",Chi-square p = 0.4928 reported for batch-by-pass/fail association,not_significant,Average RTLE subject and overall scores are reported; pass/fail counts vary numerically by batch but the chi-square test shows no statistically significant association between batch year and pass/fail status in this dataset.,ready_for_results_draft,Clarify whether subject scores are first-take only or include retakes; confirm official RTLE cluster labels and scaling.,
4,Determine whether clustered academic grades are significantly related to RTLE performance.,yes,"correlations.csv: pairwise r and p-values between CG1–CG5 and subject outcomes; regression_summaries.txt: OLS CG_only models for Subj01–Subj05 and GEN_AVE with coefficients, p-values, R²",Pearson correlations; OLS multiple regressions (CG_only),"correlations.csv shows one CG->subject significant correlation: CG5 vs Subj05 r = 0.2912, p = 0.00486.; In OLS CG_only models (regression_summaries.txt) CG5 has statistically significant positive coefficients for multiple outcomes: Subj01 coef = 1.6138 (p = 0.010), Subj02 coef = 1.2879 (p = 0.018), Subj03 coef = 1.4942 (p = 0.025), Subj04 coef = 1.0660 (p = 0.011), Subj05 coef = 2.4224 (p = 0.001), GEN_AVE coef = 1.5768 (p = 0.002).; CG_only model R-squared values are modest (e.g., Subj01 R² = 0.090; GEN_AVE R² = 0.139).",Multiple p-values reported in regression outputs (examples above).,mixed,Cluster CG5 is consistently positively associated with several RTLE subject scores and overall GEN_AVE in multiple CG-only regression models and a CG5–Subj05 correlation is statistically significant. Other clustered grades showed weaker or non-significant associations in the supplied outputs.,ready_for_results_draft,Definition of CG5 cluster content (which courses) to support interpretation.; Multicollinearity diagnostics beyond the reported condition number (VIFs) to understand coefficient stability.,"Regression outputs note large condition numbers in many models, suggesting possible multicollinearity affecting coefficient estimates."
5,Determine whether pre-board grades per cluster are significantly related to RTLE performance.,yes,correlations.csv: PBx vs Subj outcomes; regression_summaries.txt: OLS PB_only models,Pearson correlations; OLS multiple regressions (PB_only),"correlations.csv reports PB4 vs Subj04 r = 0.2136, p = 0.0409 (statistically significant at conventional levels).; correlations.csv also shows Preboard Mean vs GEN_AVE r = 0.2243, p = 0.0316 (statistically significant).; In PB_only OLS models, PB4 has statistically significant positive coefficients for Subj01 (coef = 0.2719, p = 0.042), Subj02 (coef = 0.2319, p = 0.048), and GEN_AVE (coef = 0.2244, p = 0.047). Other PB coefficients are generally non-significant in PB-only models.",Examples above from correlations.csv and regression_summaries.txt (p-values provided).,mixed,Pre-board cluster PB4 shows a small-to-moderate positive association with Subj04 and contributes positively in several PB-only regression models; the pre-board overall mean correlates positively with overall GEN_AVE. Other pre-board clusters show weaker or non-significant associations in the supplied analyses.,ready_for_results_draft,"Item-level psychometrics for pre-board instrument (reliability, item difficulties, discrimination) to assess measurement quality.; Clarify whether PB scores are percentages or raw item counts and whether they were standardized.",
6,Determine whether clustered academic grades and pre-board grades per cluster significantly predict RTLE performance.,yes,"regression_summaries.txt: Combined OLS models per subject and for GEN_AVE (CG + PB predictors); reported R-squared values for CG-only, PB-only, and Combined models",OLS multiple regression (Combined models reported),"Combined OLS models produce modest R-squared values (example: Subj01 Combined R² = 0.129; Subj03 Combined R² = 0.184; GEN_AVE Combined R² = 0.177).; In Combined models many individual CG and PB coefficients become non-significant despite some being significant in single-predictor-block models. Example for Subj01 Combined: CG5 coef = 1.4044 (p = 0.163); PB4 coef = 0.1996 (p = 0.177).; Regression diagnostics note large condition numbers in several Combined models (e.g., condition number = 1.14e+04 for several Combined models), indicating potential multicollinearity or numerical instability.",P-values and R² values are reported in regression_summaries.txt for each model.,mixed,"When clustered academic grades and pre-board grades are entered together, models explain a modest proportion of variation in RTLE subject scores and overall GEN_AVE; however, many individual predictors are not statistically significant in the Combined models, and multicollinearity warnings suggest caution interpreting individual coefficient significance.",partial,Collinearity diagnostics (VIF) and variable-selection or penalized regression diagnostics to address multicollinearity.; Model validation metrics (cross-validation or out-of-sample performance) beyond in-sample R².,"Combined models increase explained variance modestly compared with single-block models for some outcomes, but coefficient instability and multicollinearity limit strong claims about specific predictors in combined models."
7,Determine whether clustered academic grades and pre-board grades per cluster significantly predict licensure success (pass/fail).,yes,"regression_summaries.txt: logistic regression outputs (CG_only, PB_only, Combined) with coefficients, p-values, pseudo R² and LLR p-values; logit_accuracies.csv: classification accuracies for CG_only, PB_only, Combined; passfail_by_batch.csv and passfail_chi2.csv",Logistic regression models; model-level classification accuracy,"CG_only logistic model: pseudo R² = 0.1365; LLR p-value = 0.004868 (model-level), CG5 coefficient = 0.4297, p = 0.003 (statistically significant).; PB_only logistic model: pseudo R² = 0.07425; LLR p-value = 0.1035 (model-level not significant at conventional alpha); PB4 coefficient shows p = 0.072 (trend).; Combined logistic model: pseudo R² = 0.1716; LLR p-value = 0.02019 (model-level significant); individual coefficients in Combined model are generally not statistically significant at conventional alpha (example: CG5 p = 0.147).; Classification accuracies reported: CG_only = 0.7283, PB_only = 0.5761, Combined = 0.7717 (from logit_accuracies.csv).",Model- and coefficient-level p-values reported in logistic outputs; example CG5 p = 0.003 in CG_only model; Combined model LLR p = 0.02019.,mixed,"Clustered academic variables (notably CG5) are associated with and contribute to logistic models of pass/fail in this dataset; a CG-only logistic model shows a significant CG5 coefficient and reasonable in-sample classification accuracy. Pre-board-only models show weaker model-level evidence; combined models improve overall model-level fit and in-sample accuracy compared with PB-only, but many individual coefficients are non-significant when both predictor blocks are included.",partial,"ROC AUC values with CIs, sensitivity/specificity, confusion matrices and calibration statistics for logistic models.; Cross-validated or holdout classification performance to assess overfitting.","Combined logit model shows improved pseudo R² and accuracy vs PB-only; CG-only model shows a significant CG5 predictor. However, because Combined model coefficients lose significance and condition-number/multicollinearity issues exist, interpret incremental claims with caution."
8,Identify which predictor or predictor set best explains variation in RTLE performance and licensure success.,yes,"comparison of R²/pseudo R² across CG-only, PB-only, Combined models in regression_summaries.txt and logit_accuracies.csv; per-variable coefficient significance reported",Model fit comparisons (R²/pseudo R²) and classification accuracies,"CG-only models often explain more variation than PB-only models for several RTLE subject outcomes (examples: Subj01 CG_only R² = 0.090 vs PB_only R² = 0.081; GEN_AVE CG_only R² = 0.139 vs PB_only R² = 0.096).; Combined models increase R² modestly relative to CG-only in some outcomes (example GEN_AVE Combined R² = 0.177 vs CG_only R² = 0.139).; In logistic classification, combined model accuracy (0.7717) > CG_only (0.7283) > PB_only (0.5761).; Individually, CG5 is the most consistently statistically significant single predictor across multiple subject OLS models and the CG-only logistic model.",Model-level R²/pseudo R² and accuracies reported in supplied files; coefficient-level p-values shown in regression outputs.,mixed,"Clustered academic predictors (especially CG5) explain more variation and have stronger associations with RTLE scores and pass/fail than pre-board predictors alone in these analyses; adding pre-board predictors to academic predictors yields modest improvements in explained variance and classification accuracy in-sample, but combined-model coefficient instability and multicollinearity warrant cautious interpretation.",partial,"Formal statistical tests for incremental value (e.g., nested-model LRT statistics with effect size and CIs for incremental improvement) beyond reported R²/pseudo R² and accuracy numbers.; Model comparison metrics with information criteria (AIC/BIC differences) consolidated into a table.",
9,Determine whether pre-board grades per cluster add predictive value beyond clustered academic grades in explaining RTLE performance and pass/fail outcome.,yes,regression_summaries.txt: CG_only vs Combined R² comparisons; logit_accuracies.csv shows CG_only and Combined accuracies; logistic-model LLR p-values reported,Nested model comparisons (informal via R²/pseudo R² and LLR p-values) and classification accuracy comparison,GEN_AVE: CG_only R² = 0.139; Combined R² = 0.177 (modest increase when PB included).; Subj01: CG_only R² = 0.090; Combined R² = 0.129 (increase).; Logistic models: CG_only pseudo R² = 0.1365; Combined pseudo R² = 0.1716; Combined LLR p-value = 0.02019 (model-level improvement reported).; Classification accuracy increased from CG_only 0.7283 to Combined 0.7717.,Combined model-level LLR p = 0.02019; coefficient-level p-values for added PB predictors in Combined models are mostly non-significant.,mixed,"Adding pre-board predictors to clustered academic predictors yields modest improvements in explained variance and in-sample classification accuracy; however, individual pre-board predictors rarely reach statistical significance in Combined models and multicollinearity/instability concerns limit firm conclusions about the incremental value of specific pre-board clusters.",partial,"Formal nested-model test statistics for each outcome with effect sizes and CIs (e.g., likelihood-ratio tests, delta-AIC/BIC presented in a consolidated table).; Cross-validated comparison of predictive performance to assess whether Combined-model improvement holds out-of-sample.",
10,"Compare academic performance, pre-board performance, RTLE performance, and licensure success across batches.",yes,"anova_results.csv: ANOVA F and p-values per variable (interpreted as tests across batches), passfail_by_batch.csv, passfail_chi2.csv",ANOVA across batches for continuous variables; contingency table chi-square for pass/fail by batch,"ANOVA results report statistically significant differences across batches for multiple variables (examples): CG1 F = 8.8375, p = 0.000316; CG2 F = 9.6699, p = 0.000158; CG3 F = 46.4003, p = 1.57e-14; CG4 F = 3.8658, p = 0.02455; CG_mean F = 5.2052, p = 0.00728.; Several pre-board clusters show extremely small p-values across batches (examples): PB2 p = 1.70e-10; PB3 p = 5.10e-15; PB4 p = 9.36e-22; PB5 p = 1.10e-39; PB_mean p = 5.05e-17.; Despite these continuous-variable differences across batches, pass/fail counts by batch do not differ statistically (chi-square p = 0.4928).",ANOVA p-values provided in anova_results.csv; chi-square p = 0.4928 provided in passfail_chi2.csv.,mixed,"Clustered academic grades and pre-board cluster scores show statistically significant differences across batches for many clusters (strong p-values reported), but pass/fail rates do not show a statistically significant difference across batches in the supplied chi-square test.",ready_for_results_draft,"Post-hoc pairwise comparisons identifying which batches differ for each variable (Tukey or pairwise tests) are not supplied.; Contextual metadata explaining batch-level differences (e.g., curricular or assessment changes, cohort-size differences) to interpret ANOVA results.",
