question_id,priority,category,question,why_needed,used_by_stage,target_file,answer_type,required_before,detected_from,default_value,status,notes
HI-0001,required_before_drafting,Study Identity and Framing,What final or working title should later agents use?,Prevents later agents from inventing title wording.,Stage 09 writing,input/human_confirmed_context.md,short_text,before_drafting,,"""Predictive Validity of Academic Performance, Course-Cluster Grades, and Pre-Board Examination Results for Radiologic Technologist Licensure Examination Performance.""",unanswered,
HI-0002,required_before_drafting,Study Identity and Framing,What preferred study framing should be used in manuscript drafts?,Confirms the human-approved positioning.,Stage 09 writing,input/human_confirmed_context.md,long_text,before_drafting,,,unanswered,
HI-0003,required_before_drafting,Methodology Details,What is the confirmed study design?,Methodology prose requires a human-confirmed design.,Methodology/Introduction,input/methodology_details.md,short_text,before_drafting,,"retrospective data linkage, variables, psychometric preprocessing, analytic plan, sensitivity analyses, ethics",unanswered,
HI-0004,required_before_drafting,Methodology Details,"What institution, local context, or anonymized setting wording may be used?",Local context is human-dependent and may require anonymization.,Introduction/Methodology,input/methodology_details.md,long_text,before_drafting,,,unanswered,
HI-0005,required_before_drafting,Methodology Details,What is the study timeframe or academic years covered?,Timeframe should not be inferred.,Methodology,input/methodology_details.md,short_text,before_drafting,,,unanswered,
HI-0006,required_before_drafting,Methodology Details,"What population and sample are included, including sample size if known?",Prevents invented sample details.,Methodology/Results,input/methodology_details.md,long_text,before_drafting,,,unanswered,
HI-0007,required_before_drafting,Methodology Details,What inclusion and exclusion criteria were actually used?,Confirms study boundaries.,Methodology,input/methodology_details.md,long_text,before_drafting,,,unanswered,
HI-0008,required_before_drafting,Methodology Details,What variables and operational definitions are actually available?,Prevents invented variables or measures.,Methodology/Results,input/methodology_details.md,table,before_drafting,,variables.md,unanswered,
HI-0009,required_before_results,Data and Results Details,What statistical outputs are available for drafting Results?,Results cannot be drafted without human-supplied outputs.,Results/Discussion,input/statistical_results.md,long_text,before_results,,,unanswered,
HI-0010,required_before_results,Data and Results Details,"Are Results ready to draft now? If not, what is missing?",Controls whether Stage 09+ can draft Results/Discussion.,Results/Discussion,input/results_availability.md,choice,before_results,,,unanswered,
HI-0011,required_before_drafting,Ethical and Administrative Details,"What ethical approval, exemption, consent, or privacy handling should be stated?",Ethics status is human-only information.,Methodology,input/methodology_details.md,long_text,before_drafting,,,unanswered,
HI-0012,required_before_final,Scope and Claims,What known limitations should the manuscript acknowledge?,Limitations should be human-reviewed.,Discussion,input/human_confirmed_context.md,long_text,before_final,,,unanswered,
HI-0013,required_before_drafting,Scope and Claims,What claims should writers avoid?,Prevents overclaiming.,All writing stages,input/human_confirmed_context.md,list,before_drafting,,,unanswered,
HI-0014,optional,Style Preferences,"Are there preferred terms, target journal rules, or disclosure preferences?",Captures optional style and disclosure choices.,All writing stages,input/human_confirmed_context.md,long_text,before_final,,,unanswered,
HI-0015,required_before_drafting,Ethical and Administrative Details,Should the local context or institution be anonymized?,Avoids unwanted disclosure.,Introduction/Methodology,input/human_confirmed_context.md,yes_no,before_drafting,,,unanswered,
HI-0016,required_before_drafting,Methodology Details,"Please confirm the exact population, sampling method, and sample size.",Detected from outline/context markers that require human confirmation.,Methodology/Results,input/methodology_details.md,long_text,before_drafting,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\08_outline\manuscript_outline.md,,unanswered,
HI-0017,required_before_drafting,Ethical and Administrative Details,Please provide the exact ethics/privacy wording to use.,Detected from outline/context markers that require human confirmation.,Methodology,input/methodology_details.md,long_text,before_drafting,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\08_outline\manuscript_outline.md,,unanswered,
HI-0018,required_before_results,Data and Results Details,"Please provide available statistical results, tables, figures, or file paths.",Detected from outline/context markers that require human confirmation.,Results/Discussion,input/statistical_results.md,long_text,before_drafting,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\08_outline\manuscript_outline.md,,unanswered,
HI-0019,required_before_drafting,Methodology Details,"Please confirm the study setting, timeframe, and data sources.",Detected from outline/context markers that require human confirmation.,Methodology,input/methodology_details.md,long_text,before_drafting,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\08_outline\manuscript_outline.md,,unanswered,
HI-0020,required_before_drafting,Scope and Claims,Please confirm claim boundaries and known limitations.,Detected from outline/context markers that require human confirmation.,All writing stages,input/human_confirmed_context.md,long_text,before_drafting,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\08_outline\manuscript_outline.md,,unanswered,
